Step 1      Volume
Tetra 55   1.07862       
Tetra 56   1.03539       
Tetra 57   1.00953       
Tetra 58   1.07172       
Tetra 59   1.10969       
Tetra 60   1.11025       
Tetra 61   1.05205       
Tetra 62   1.05260       
Tetra 63   1.08213       
Tetra 64   1.03590       
Tetra 65   1.10295       
Tetra 66   1.07557       
Tetra 67   1.07923       
Tetra 68   1.07904       
Tetra 69   1.07931       
Tetra 70   1.05193       
Tetra 71   1.08297       
Tetra 72   0.978882      
Tetra 73   0.979766      
Tetra 74   0.980392      
Tetra 75   0.980022      
Tetra 76   0.979379      
Tetra 77   1.03660       
Tetra 78   1.01087       
Tetra 79   1.01135       
Tetra 80   1.07221       
Tetra 81   1.01673       
Tetra 82   1.04634       
Tetra 83   1.02102       
Tetra 84   1.02064       
Tetra 85   0.991819      
Tetra 86   1.02015       
Tetra 87   1.02320       
Tetra 88   1.05311       
Tetra 89   1.05298       
Tetra 90   1.05293       
Tetra 91   1.05318       
Tetra 92   0.998130      
Tetra 93   1.02750       
Total Volume: 95.3518

Step 4      Volume
---------------------------
Tetra 1    0.841144      
Tetra 2    0.841159      
Tetra 3    0.774075      
Tetra 4    0.774090      
Tetra 5    0.837766      
Tetra 6    0.837782      
Tetra 7    0.801782      
Tetra 8    0.864916      
Tetra 9    0.801572      
Tetra 10   0.864691      
Tetra 11   0.802693      
Tetra 12   0.865895      
Tetra 13   1.15953       
Tetra 14   1.09072       
Tetra 15   1.09195       
Tetra 16   1.03664       
Tetra 17   1.16396       
Tetra 18   1.03770       
Tetra 19   1.16548       
Tetra 20   1.16428       
Tetra 21   1.09486       
Tetra 22   1.01057       
Tetra 23   1.01159       
Tetra 24   1.13615       
Tetra 25   1.13426       
Tetra 26   1.13594       
Tetra 27   1.09608       
Tetra 28   1.09645       
Tetra 29   1.09641       
Tetra 30   1.10420       
Tetra 31   1.06698       
Tetra 32   1.06694       
Tetra 33   1.08661       
Tetra 34   1.16863       
Tetra 35   1.13795       
Tetra 36   1.10028       
Tetra 37   1.12291       
Tetra 38   1.09839       
Tetra 39   1.09303       
Tetra 40   1.05771       
Tetra 41   1.13122       
Tetra 42   1.17030       
Tetra 43   1.09993       
Tetra 44   1.13813       
Tetra 45   1.13978       
Tetra 46   1.13957       
Tetra 47   1.10630       
Tetra 48   1.10790       
Tetra 49   1.07102       
Tetra 50   1.20444       
Tetra 51   1.16555       
Tetra 52   1.13262       
Tetra 53   1.13358       
Tetra 54   1.17348       
Tetra 55   1.13463       
Tetra 56   1.07386       
Tetra 57   1.04388       
Tetra 58   1.12211       
Tetra 59   1.17332       
Tetra 60   1.17428       
Tetra 61   1.10363       
Tetra 62   1.10457       
Tetra 63   1.14082       
Tetra 64   1.07469       
Tetra 65   1.16095       
Tetra 66   1.12883       
Tetra 67   1.13575       
Tetra 68   1.13543       
Tetra 69   1.13593       
Tetra 70   1.10348       
Tetra 71   1.14232       
Tetra 72   1.00500       
Tetra 73   1.00648       
Tetra 74   1.00749       
Tetra 75   1.00686       
Tetra 76   1.00581       
Tetra 77   1.07600       
Tetra 78   1.04622       
Tetra 79   1.04701       
Tetra 80   1.12305       
Tetra 81   1.05671       
Tetra 82   1.09326       
Tetra 83   1.06408       
Tetra 84   1.06340       
Tetra 85   1.02802       
Tetra 86   1.06262       
Tetra 87   1.06847       
Tetra 88   1.10557       
Tetra 89   1.10538       
Tetra 90   1.10526       
Tetra 91   1.10571       
Tetra 92   1.03945       
Tetra 93   1.07588       
Total Volume: 99.0338

Step 5      Volume
---------------------------
Tetra 1    0.836766      
Tetra 2    0.836797      
Tetra 3    0.761779      
Tetra 4    0.761807      
Tetra 5    0.832197      
Tetra 6    0.832228      
Tetra 7    0.791769      
Tetra 8    0.861215      
Tetra 9    0.791509      
Tetra 10   0.860933      
Tetra 11   0.793043      
Tetra 12   0.862594      
Tetra 13   1.20965       
Tetra 14   1.13441       
Tetra 15   1.13620       
Tetra 16   1.06866       
Tetra 17   1.21644       
Tetra 18   1.07006       
Tetra 19   1.21849       
Tetra 20   1.21687       
Tetra 21   1.14071       
Tetra 22   1.04210       
Tetra 23   1.04343       
Tetra 24   1.18815       
Tetra 25   1.18557       
Tetra 26   1.18789       
Tetra 27   1.14252       
Tetra 28   1.14302       
Tetra 29   1.14296       
Tetra 30   1.15386       
Tetra 31   1.11185       
Tetra 32   1.11180       
Tetra 33   1.12854       
Tetra 34   1.22287       
Tetra 35   1.19055       
Tetra 36   1.14818       
Tetra 37   1.16899       
Tetra 38   1.14560       
Tetra 39   1.13766       
Tetra 40   1.09833       
Tetra 41   1.18124       
Tetra 42   1.22530       
Tetra 43   1.14783       
Tetra 44   1.19091       
Tetra 45   1.19318       
Tetra 46   1.19291       
Tetra 47   1.15674       
Tetra 48   1.15894       
Tetra 49   1.11745       
Tetra 50   1.26260       
Tetra 51   1.21899       
Tetra 52   1.18357       
Tetra 53   1.18488       
Tetra 54   1.23013       
Tetra 55   1.18634       
Tetra 56   1.11092       
Tetra 57   1.07913       
Tetra 58   1.16832       
Tetra 59   1.23001       
Tetra 60   1.23131       
Tetra 61   1.15339       
Tetra 62   1.15467       
Tetra 63   1.19516       
Tetra 64   1.11203       
Tetra 65   1.21206       
Tetra 66   1.17778       
Tetra 67   1.18796       
Tetra 68   1.18752       
Tetra 69   1.18826       
Tetra 70   1.15324       
Tetra 71   1.19727       
Tetra 72   1.03433       
Tetra 73   1.03635       
Tetra 74   1.03767       
Tetra 75   1.03679       
Tetra 76   1.03542       
Tetra 77   1.11394       
Tetra 78   1.08242       
Tetra 79   1.08345       
Tetra 80   1.16976       
Tetra 81   1.09740       
Tetra 82   1.13842       
Tetra 83   1.10763       
Tetra 84   1.10669       
Tetra 85   1.06708       
Tetra 86   1.10565       
Tetra 87   1.11438       
Tetra 88   1.15619       
Tetra 89   1.15598       
Tetra 90   1.15576       
Tetra 91   1.15643       
Tetra 92   1.08359       
Tetra 93   1.12472       
Total Volume: 102.698

Step 6      Volume
---------------------------
Tetra 1    0.842097      
Tetra 2    0.842145      
Tetra 3    0.761274      
Tetra 4    0.761319      
Tetra 5    0.836532      
Tetra 6    0.836581      
Tetra 7    0.792834      
Tetra 8    0.866731      
Tetra 9    0.792540      
Tetra 10   0.866412      
Tetra 11   0.794433      
Tetra 12   0.868470      
Tetra 13   1.25627       
Tetra 14   1.17723       
Tetra 15   1.17955       
Tetra 16   1.10203       
Tetra 17   1.26528       
Tetra 18   1.10371       
Tetra 19   1.26776       
Tetra 20   1.26582       
Tetra 21   1.18560       
Tetra 22   1.07582       
Tetra 23   1.07740       
Tetra 24   1.23752       
Tetra 25   1.23438       
Tetra 26   1.23723       
Tetra 27   1.18794       
Tetra 28   1.18855       
Tetra 29   1.18848       
Tetra 30   1.20212       
Tetra 31   1.15674       
Tetra 32   1.15667       
Tetra 33   1.16979       
Tetra 34   1.27321       
Tetra 35   1.24040       
Tetra 36   1.19478       
Tetra 37   1.21303       
Tetra 38   1.19164       
Tetra 39   1.18137       
Tetra 40   1.13932       
Tetra 41   1.22885       
Tetra 42   1.27635       
Tetra 43   1.19451       
Tetra 44   1.24097       
Tetra 45   1.24375       
Tetra 46   1.24346       
Tetra 47   1.20568       
Tetra 48   1.20838       
Tetra 49   1.16367       
Tetra 50   1.31550       
Tetra 51   1.26874       
Tetra 52   1.23212       
Tetra 53   1.23371       
Tetra 54   1.28270       
Tetra 55   1.23552       
Tetra 56   1.14797       
Tetra 57   1.11544       
Tetra 58   1.21259       
Tetra 59   1.28266       
Tetra 60   1.28423       
Tetra 61   1.20180       
Tetra 62   1.20335       
Tetra 63   1.24672       
Tetra 64   1.14929       
Tetra 65   1.25969       
Tetra 66   1.22448       
Tetra 67   1.23760       
Tetra 68   1.23707       
Tetra 69   1.23803       
Tetra 70   1.20166       
Tetra 71   1.24938       
Tetra 72   1.06615       
Tetra 73   1.06861       
Tetra 74   1.07018       
Tetra 75   1.06910       
Tetra 76   1.06746       
Tetra 77   1.15178       
Tetra 78   1.11955       
