Edge 1:		0.7075992261	1.3840505360
Edge 2:		0.5540398953	1.3498041801
Edge 3:		0.3257219505	1.2884154491
Edge 4:		0.6300718104	1.9746413178
Edge 5:		0.5320970336	1.9250675922
Edge 6:		0.4348588014	1.8739607062
Edge 7:		0.3657016554	1.2870259540
Edge 8:		0.5919250496	1.9487976730
Edge 9:		0.4310160422	1.8586749050
Edge 10:	0.7017440927	1.3688768021
Edge 11:	0.2438808015	1.7039102843
Edge 12:	0.4135575249	1.8376740908
Edge 13:	0.5137047707	1.8884415250
Edge 14:	0.8672846461	1.4487367431
Edge 15:	0.4120844125	1.8527583782
Edge 16:	0.4629896410	1.8962748628
Edge 17:	0.3793203051	1.8287215547
Edge 18:	1.1005102295	2.2323399328
Edge 19:	0.2836521737	1.6646921798
Edge 20:	0.9880757118	2.0834002883
Edge 21:	1.0249674828	2.1148319426
Edge 22:	0.2938405870	1.6585637824
Edge 23:	1.0621198641	2.1052021730
Edge 24:	1.1608617588	2.1518213826
Edge 25:	1.5984684780	2.2371934292
Edge 26:	0.6517697025	1.9247648587
Edge 27:	0.6444551084	1.9434874494
Edge 28:	1.0180306934	2.1135756119
Edge 29:	1.3123188603	2.1721295613
Edge 30:	0.7069256822	1.9617898813
Edge 31:	0.5456917614	1.8758370013
Edge 32:	1.0766287519	2.1497728276
Edge 33:	1.2980912656	2.1539742943
Edge 34:	1.1465679950	2.1837997719
Edge 35:	1.3704502811	2.2799238322
Edge 36:	1.1944725540	2.1489772019
Edge 37:	1.1315538911	2.1237588058
Edge 38:	1.3488660006	2.3754573153
Edge 39:	1.3258255619	2.2580300674
Edge 40:	0.7819576274	2.0159071884
Edge 41:	1.3382854194	2.1702466544
Edge 42:	1.2026520647	2.1252008845
Edge 43:	0.5285527324	1.6705426164
Edge 44:	1.0777632722	2.1665895065
Edge 45:	1.3615462178	2.2762430379
Edge 46:	1.0407237700	2.1340745763
Edge 47:	1.1373722200	2.0972564748
Edge 48:	1.1858209576	2.0163111566
Edge 49:	0.5912986787	1.6898142368
Edge 50:	1.2482782111	2.1004495472
Edge 51:	1.1615793714	2.1251349047
Edge 52:	1.0949035857	2.1864901692
Edge 53:	0.6062961952	1.9258475114
Edge 54:	1.1359874844	2.2126811904
Edge 55:	0.9877466242	1.8717816685
Edge 56:	1.8958529942	2.2626041546
Edge 57:	0.6048993130	1.5854516372
Edge 58:	1.3493469082	1.9625912500
Edge 59:	1.1059826661	2.1630211976
Edge 60:	0.7592455154	1.9745603996
Edge 61:	0.9832559910	1.8902710403
Edge 62:	1.8621714954	2.2585577506
Edge 63:	0.6236559441	1.5976453509
Edge 64:	1.5192250111	2.0238426328
Edge 65:	1.7010176364	2.5258775996
Edge 66:	1.6616793275	2.4578105869
Edge 67:	0.6781685728	1.9431255544
Edge 68:	1.3733752364	2.2003527472
Edge 69:	1.0749473009	2.0312488375
Edge 70:	1.1465017130	2.0216760727
Edge 71:	1.3263452809	2.0151841722
Edge 72:	0.9615663900	1.8014847647
Edge 73:	0.9584299183	2.0595869003
Edge 74:	1.1591232426	2.0334213806
Edge 75:	1.4320824210	2.2168734271
Edge 76:	1.4278987047	2.1969952210
Edge 77:	1.1216247659	1.8510126194
Edge 78:	1.2929916076	2.2132157516
Edge 79:	1.2412653634	1.9118428792
Edge 80:	1.9040524936	2.6624417951
Edge 81:	1.3323642234	2.1943723875
Edge 82:	0.9025767129	2.0754661385
Edge 83:	1.4354012623	2.2255648181
Edge 84:	0.8003706924	2.0118477896
Edge 85:	2.0363978617	2.5117471146
Edge 86:	1.0225764078	2.1451570836
Edge 87:	1.0174367131	2.1272841987
Edge 88:	1.8952099738	2.3354354384
Edge 89:	1.4810956458	2.3218754810
Edge 90:	1.5579658267	2.3140321979
Edge 91:	1.3632366474	2.2582373254
Edge 92:	2.1986633890	2.4034450808
Edge 93:	1.1834390571	1.9859267595
Edge 94:	1.4896529594	2.0430656995
Edge 95:	1.4438283601	2.2078781323
Edge 96:	1.1281374278	1.8404893504
Edge 97:	2.2151181947	2.3634944081
Edge 98:	1.3305661866	1.9941513734
Edge 99:	1.4199814918	2.0648471942
Edge 100:	1.5246102174	2.3438164615
Edge 101:	1.4031703188	2.2610117585
Edge 102:	1.6216613066	2.3192305971
Edge 103:	1.3230517749	2.1595854102
Edge 104:	1.2978270439	1.9579525354
Edge 105:	1.5133183260	1.9598014489
Edge 106:	1.3865374327	1.9506870661
