1	-0.630342	-0.125524	-1.6077	1.97149	0.107029	-0.147413	-0.34263	-1.1622	1.93729
2	-0.618923	-0.120994	-1.55393	1.91426	0.107721	-0.150337	-0.334223	-1.11887	1.8753
3	-0.607338	-0.116486	-1.50185	1.85823	0.108273	-0.152766	-0.325903	-1.07701	1.81485
4	-0.595621	-0.112016	-1.45142	1.80342	0.108688	-0.154733	-0.317682	-1.03659	1.75594
5	-0.583804	-0.107595	-1.4026	1.74984	0.108972	-0.156272	-0.309566	-0.997556	1.69858
6	-0.571916	-0.103235	-1.35534	1.69748	0.109128	-0.157413	-0.301562	-0.959892	1.64276
7	-0.559987	-0.0989434	-1.30961	1.64634	0.10916	-0.158185	-0.293678	-0.923559	1.58846
8	-0.54804	-0.0947302	-1.26537	1.59643	0.109074	-0.158617	-0.285919	-0.888519	1.53569
9	-0.5361	-0.0906022	-1.22257	1.54775	0.108874	-0.158735	-0.278289	-0.854738	1.48442
10	-0.524188	-0.0865656	-1.18118	1.50027	0.108566	-0.158565	-0.270793	-0.822181	1.43463
11	-0.512324	-0.0826255	-1.14115	1.454	0.108154	-0.158129	-0.263433	-0.79081	1.38632
12	-0.500527	-0.0787864	-1.10244	1.40893	0.107643	-0.157451	-0.256213	-0.760591	1.33944
13	-0.488813	-0.0750516	-1.06502	1.36504	0.107039	-0.156551	-0.249135	-0.731488	1.29398
14	-0.477196	-0.071424	-1.02884	1.32231	0.106347	-0.155449	-0.2422	-0.703466	1.24992
15	-0.465692	-0.0679056	-0.993876	1.28075	0.105572	-0.154164	-0.235411	-0.67649	1.20722
16	-0.454311	-0.0644979	-0.96008	1.24031	0.10472	-0.152713	-0.228767	-0.650526	1.16586
17	-0.443066	-0.0612017	-0.927419	1.201	0.103794	-0.151112	-0.222269	-0.625539	1.12581
18	-0.431965	-0.0580173	-0.895857	1.16279	0.102801	-0.149377	-0.215917	-0.601498	1.08704
19	-0.421017	-0.0549448	-0.86536	1.12567	0.101744	-0.147522	-0.209711	-0.57837	1.04951
20	-0.410231	-0.0519835	-0.835894	1.0896	0.10063	-0.145561	-0.20365	-0.556122	1.01321
21	-0.399612	-0.0491325	-0.807425	1.05458	0.0994615	-0.143505	-0.197734	-0.534724	0.978092
22	-0.389166	-0.0463908	-0.779922	1.02058	0.098244	-0.141367	-0.191961	-0.514146	0.94413
23	-0.378899	-0.0437568	-0.753352	0.987579	0.0969817	-0.139157	-0.18633	-0.494359	0.911293
24	-0.368814	-0.0412288	-0.727685	0.955557	0.0956788	-0.136886	-0.180839	-0.475333	0.87955
25	-0.358914	-0.0388048	-0.702892	0.924492	0.0943392	-0.134562	-0.175488	-0.45704	0.84887
26	-0.349204	-0.0364828	-0.678943	0.894361	0.0929669	-0.132194	-0.170273	-0.439455	0.819223
27	-0.339683	-0.0342604	-0.65581	0.865143	0.0915656	-0.12979	-0.165193	-0.42255	0.790579
28	-0.330355	-0.0321353	-0.633466	0.836815	0.0901389	-0.127358	-0.160247	-0.4063	0.762907
29	-0.32122	-0.030105	-0.611885	0.809357	0.08869	-0.124904	-0.155431	-0.39068	0.736179
